議論(する),
世論,
論文,
理論,
相次ぐ,
あい,
次,
次に,
次官,
かん,
次期,
述べる,
記述(する),
き,
------,Lesson 14
数,
数える,
数字,
人数,
観客数,
以降,
以上,
以下,
以前,
以来,
以内,
以外,
～が加わる,
～を加える,
増加(する),
比べる,
比較(する),
かく,
～が変わる,
～を変える,
変化(する),
か,
大変(な),
２倍,
倍増(する),
～が続く,
～を続ける,
手続き,
連続(する),
れん,
疑う,
疑問,
問題,
課題,
話題,
宿題,
原則,
原子力発電,
りょく,
原発,
原料,
原因,
要因,
------,Lesson 15
説明(する),
小説,
変化(する),
グラフ化(する),
強化(する),
文化,
英国,
英語,
実現(する),
事実,
実験(する),
現実,
実行(する),
実は,
力,
実力,
協力(する),
きょう,
能力,
のう,
電力,
全力,
～を割る,
～が割れる,
割合,
５割,
割引,
同じ,
同社,
合同,
同月比,
対する,
１対９,
対立(する),
不安(な),
不満(な),
まん,
不正(な),
不足(する),
水不足,
思う,
思い出す,
思い出,
不思議(な),
他,
その他,
他人,
------,Lesson 16
役所,
区役所,
役割,
役員,
役に立つ,
現役,
各種,
各ポジション,
各地,
国民,
市民,
住民,
住民票,
投票(する),
国籍,
籍,
戸籍,
死ぬ,
死亡(する),
ぼう,
死,
結婚(する),
結婚式,
～が離れる,
離婚(する),
距離,
きょ,
変更(する),
更新(する),
～が届く,
～を届ける,
変更届,
転入届,
届出,
氏名,
田中氏,
------,Lesson 17
印,
印象,
しょう,
調印(する),
印刷(する),
さつ,
連れる,
連れて行く,
国連,
国際連合,
さい,
連続(する),
連休,
連絡(する),
記入(する),
記録(する),
ろく,
記者,
記念(する),
ねん,
記事,
職歴,
職員,
就職(する),
しゅう,
退職(する),
たい,
職場,
職業,
学科,
科学,
教科書,
内科,
資金,
投資(する),
資料,
資格,
価格,
か,
本格的(な),
志望(する),
志願(する),
がん,
志願者,
がん,
望む,
要望(する),
勤める,
勤務(する),
通勤(する),
出勤(する),
転勤(する),
希望(する),
------,Lesson 18
報告(する),
広告,
上司,
司会(する),
司法,
相手,
相談(する),
首相,
相談(する),
会談(する),
良い,
不良,
不良品,
改良(する),
かい,
悪い,
最悪,
悪化(する),
～を伝える,
手伝う,
伝言(する),
伝統,
とう,
伝統的(な),
とう,
心,
心配(する),
安心(する),
中心,
関心,
かん,
断る,
断つ,
決断(する),
中断(する),
判断(する),
批判(する),
ひ,
裁判(する),
さい,
急ぐ,
急増(する),
特急,
救急,
きゅう,
救急車,
きゅう,
緊急,
きん,
急(な),
------,Lesson 19
面白い,
真面目(な),
紙面,
一面,
画面,
経る,
経験(する),
経由(する),
ゆ,
～が済む,
経済,
返済(する),
へん,
政府,
行政,
～が治る,
政治,
政治家,
自治体,
治安,
国際,
実際に,
(～の)際,
法律,
関心,
関連(する),
関する,
機関,
係,
関係(する),
第五回,
第一,
次第に,
初めて,
初め,
初進出(する),
最初,
当初,
初期,
初日,
------,Lesson 20
夫,
夫人,
工夫(する),
夫婦,
妻,
夫妻,
～を建てる,
～が建つ,
建物,
建設(する),
せつ,
建築(する),
ちく,
息,
息子,
利息,
娘,
犬,
秋田犬,
奥,
奥さん,
主(な),
主張(する),
主要(な),
主人,
主婦,
違う,
間違える,
違法(な),
感じる,
感情,
感動(する),
------,Lesson 21
向ける,
旅行者向け,
向かう,
南向き,
向こう,
方向,
向上(する),
出生率,
比率,
利率,
税率,
ぜい,
低い,
低下(する),
最低,
暗い,
暗殺(する),
さつ,
共働き,
共に,
共同,
公共,
共通(する),
反対(する),
違反(する),
反発(する),
女性,
男性,
性格,
性別,
難しい,
困難(な),
こん,
難問,
難民,
若者,
若い,
若手,
～を解く,
理解(する),
解決(する),
見解,
------,Lesson 22
複数,
複雑(な),
雑誌,
し,
16世紀,
王国,
国王,
女王,
易しい,
交易(する),
貿易(する),
ぼう,
支える,
支配(する),
支配下,
支持(する),
支店,
戦う,
戦場,
戦後,
開戦(する),
終戦,
第二次世界大戦,
内戦,
争う,
戦争(する),
太平洋戦争,
くり返す,
～を返す,
返事(する),
返済(する),
返還(する),
軍,
軍事,
米軍,
海軍,
空軍,
陸軍,
りく,
基づく,
基地,
基本,
